Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Levi Smans,"Mar 25, 2003 (22)",Attacking Midfield,SC Heerenveen,Eredivisie,€2.00m,Netherlands,https://www.transfermarkt.com/levi-smans/profil/spieler/918365
Melle Witteveen,"Jun 24, 2003 (22)",Attacking Midfield,SC Heerenveen,Eredivisie,€50k,Netherlands,https://www.transfermarkt.com/melle-witteveen/profil/spieler/603477
Ilias Sebaoui,"Oct 4, 2001 (23)",Left Winger,SC Heerenveen,Eredivisie,€1.50m,Morocco / Belgium,https://www.transfermarkt.com/ilias-sebaoui/profil/spieler/852953
Danilo Al-Saed,"Feb 24, 1999 (26)",Left Winger,SC Heerenveen,Eredivisie,€800k,Iraq / Sweden,https://www.transfermarkt.com/danilo-al-saed/profil/spieler/866082
Jacob Trenskow,"Nov 26, 2000 (24)",Right Winger,SC Heerenveen,Eredivisie,€4.00m,Denmark,https://www.transfermarkt.com/jacob-trenskow/profil/spieler/542684
Alireza Jahanbakhsh,"Aug 11, 1993 (31)",Right Winger,SC Heerenveen,Eredivisie,€1.50m,Iran / Netherlands,https://www.transfermarkt.com/alireza-jahanbakhsh/profil/spieler/213268
Eser Gürbüz,"Mar 6, 2007 (18)",Right Winger,SC Heerenveen,Eredivisie,€600k,Netherlands / Türkiye,https://www.transfermarkt.com/eser-gurbuz/profil/spieler/1130803
Ché Nunnely,"Feb 4, 1999 (26)",Right Winger,SC Heerenveen,Eredivisie,€500k,Suriname / Netherlands,https://www.transfermarkt.com/che-nunnely/profil/spieler/326030
Milos Lukovic,"Nov 18, 2005 (19)",Centre-Forward,SC Heerenveen,Eredivisie,€5.00m,Serbia,https://www.transfermarkt.com/milos-lukovic/profil/spieler/845872
Daniel Karlsbakk,"Apr 7, 2003 (22)",Centre-Forward,SC Heerenveen,Eredivisie,€2.50m,Norway,https://www.transfermarkt.com/daniel-karlsbakk/profil/spieler/661205
Ion Nicolaescu,"Sep 7, 1998 (26)",Centre-Forward,SC Heerenveen,Eredivisie,€1.50m,Moldova / Romania,https://www.transfermarkt.com/ion-nicolaescu/profil/spieler/438310
Dimitris Rallis,"Mar 26, 2005 (20)",Centre-Forward,SC Heerenveen,Eredivisie,€650k,Greece / Netherlands,https://www.transfermarkt.com/dimitris-rallis/profil/spieler/747953
Nick Olij,"Aug 1, 1995 (29)",Goalkeeper,Sparta Rotterdam,Eredivisie,€3.50m,Netherlands,https://www.transfermarkt.com/nick-olij/profil/spieler/215094
Youri Schoonderwaldt,"Mar 13, 2000 (25)",Goalkeeper,Sparta Rotterdam,Eredivisie,€100k,Netherlands,https://www.transfermarkt.com/youri-schoonderwaldt/profil/spieler/531712
Kaylen Reitmaier,"Apr 5, 2004 (21)",Goalkeeper,Sparta Rotterdam,Eredivisie,€75k,Germany / Brazil,https://www.transfermarkt.com/kaylen-reitmaier/profil/spieler/810846
Dylan Tevreden,"Jul 17, 2005 (19)",Goalkeeper,Sparta Rotterdam,Eredivisie,-,Netherlands / Suriname,https://www.transfermarkt.com/dylan-tevreden/profil/spieler/928593
Marvin Young,"Oct 2, 2005 (19)",Centre-Back,Sparta Rotterdam,Eredivisie,€2.50m,Netherlands / Suriname,https://www.transfermarkt.com/marvin-young/profil/spieler/928592
Mike Eerdhuijzen,"Jul 13, 2000 (24)",Centre-Back,Sparta Rotterdam,Eredivisie,€2.30m,Netherlands,https://www.transfermarkt.com/mike-eerdhuijzen/profil/spieler/482141
Teo Quintero,"Mar 2, 1999 (26)",Centre-Back,Sparta Rotterdam,Eredivisie,€600k,Venezuela / Spain,https://www.transfermarkt.com/teo-quintero/profil/spieler/627069
Rick Meissen,"Feb 24, 2002 (23)",Centre-Back,Sparta Rotterdam,Eredivisie,€500k,Netherlands,https://www.transfermarkt.com/rick-meissen/profil/spieler/596178
Max de Ligt,"Jul 20, 2004 (20)",Centre-Back,Sparta Rotterdam,Eredivisie,-,Netherlands,https://www.transfermarkt.com/max-de-ligt/profil/spieler/804775
Djevencio van der Kust,"Apr 30, 2001 (24)",Left-Back,Sparta Rotterdam,Eredivisie,€600k,Suriname / Netherlands,https://www.transfermarkt.com/djevencio-van-der-kust/profil/spieler/596148
Patrick van Aanholt,"Aug 29, 1990 (34)",Left-Back,Sparta Rotterdam,Eredivisie,€500k,Netherlands / Curacao,https://www.transfermarkt.com/patrick-van-aanholt/profil/spieler/52119
Mike Kleijn,"Feb 9, 2005 (20)",Left-Back,Sparta Rotterdam,Eredivisie,€250k,Netherlands,https://www.transfermarkt.com/mike-kleijn/profil/spieler/738516
Saïd Bakari,"Sep 22, 1994 (30)",Right-Back,Sparta Rotterdam,Eredivisie,€650k,Comoros / France,https://www.transfermarkt.com/said-bakari/profil/spieler/524687
Boyd Reith,"May 5, 1999 (26)",Right-Back,Sparta Rotterdam,Eredivisie,€400k,Netherlands,https://www.transfermarkt.com/boyd-reith/profil/spieler/393240
Gjivai Zechiël,"Jun 1, 2004 (21)",Defensive Midfield,Sparta Rotterdam,Eredivisie,€4.00m,Netherlands / Suriname,https://www.transfermarkt.com/gjivai-zechiel/profil/spieler/571149
Metinho,"Apr 23, 2003 (22)",Central Midfield,Sparta Rotterdam,Eredivisie,€3.00m,Brazil / DR Congo,https://www.transfermarkt.com/metinho/profil/spieler/859396
Joshua Kitolano,"Aug 3, 2001 (23)",Central Midfield,Sparta Rotterdam,Eredivisie,€2.50m,Norway,https://www.transfermarkt.com/joshua-kitolano/profil/spieler/432694
Carel Eiting,"Feb 11, 1998 (27)",Central Midfield,Sparta Rotterdam,Eredivisie,€1.60m,Netherlands,https://www.transfermarkt.com/carel-eiting/profil/spieler/315128
Julian Baas,"Apr 16, 2002 (23)",Central Midfield,Sparta Rotterdam,Eredivisie,€800k,Netherlands,https://www.transfermarkt.com/julian-baas/profil/spieler/616340
Pelle Clement,"May 19, 1996 (29)",Central Midfield,Sparta Rotterdam,Eredivisie,€650k,Netherlands,https://www.transfermarkt.com/pelle-clement/profil/spieler/297693
Hamza el Dahri,"Mar 5, 2005 (20)",Central Midfield,Sparta Rotterdam,Eredivisie,€100k,Netherlands / Morocco,https://www.transfermarkt.com/hamza-el-dahri/profil/spieler/928612
Jonathan de Guzmán,"Sep 13, 1987 (37)",Central Midfield,Sparta Rotterdam,Eredivisie,€50k,Netherlands / Canada,https://www.transfermarkt.com/jonathan-de-guzman/profil/spieler/31067
Kristian Hlynsson,"Jan 23, 2004 (21)",Attacking Midfield,Sparta Rotterdam,Eredivisie,€4.00m,Iceland,https://www.transfermarkt.com/kristian-hlynsson/profil/spieler/694186
Arno Verschueren,"Apr 8, 1997 (28)",Attacking Midfield,Sparta Rotterdam,Eredivisie,€1.50m,Belgium,https://www.transfermarkt.com/arno-verschueren/profil/spieler/250591
Mohamed Nassoh,"Jan 26, 2003 (22)",Attacking Midfield,Sparta Rotterdam,Eredivisie,€700k,Morocco / Netherlands,https://www.transfermarkt.com/mohamed-nassoh/profil/spieler/640565
Joel Ideho,"Jul 17, 2003 (21)",Left Winger,Sparta Rotterdam,Eredivisie,€500k,Netherlands / Nigeria,https://www.transfermarkt.com/joel-ideho/profil/spieler/760508
Rayvien Rosario,"Apr 11, 2004 (21)",Left Winger,Sparta Rotterdam,Eredivisie,€100k,Curacao / Netherlands,https://www.transfermarkt.com/rayvien-rosario/profil/spieler/806284
Kayky,"Jun 11, 2003 (22)",Right Winger,Sparta Rotterdam,Eredivisie,€6.00m,Brazil,https://www.transfermarkt.com/kayky/profil/spieler/668265
Camiel Neghli,"Nov 6, 2001 (23)",Right Winger,Sparta Rotterdam,Eredivisie,€2.00m,Algeria / Netherlands,https://www.transfermarkt.com/camiel-neghli/profil/spieler/587588
Mitchell van Bergen,"Aug 27, 1999 (25)",Right Winger,Sparta Rotterdam,Eredivisie,€1.50m,Netherlands,https://www.transfermarkt.com/mitchell-van-bergen/profil/spieler/393239
Shunsuke Mito,"Sep 28, 2002 (22)",Right Winger,Sparta Rotterdam,Eredivisie,€850k,Japan,https://www.transfermarkt.com/shunsuke-mito/profil/spieler/566013
Ayoub Oufkir,"Jan 4, 2006 (19)",Right Winger,Sparta Rotterdam,Eredivisie,€250k,Netherlands / Morocco,https://www.transfermarkt.com/ayoub-oufkir/profil/spieler/1078350
Layee Kromah,"Jun 7, 2003 (22)",Right Winger,Sparta Rotterdam,Eredivisie,€200k,Netherlands / Liberia,https://www.transfermarkt.com/layee-kromah/profil/spieler/865293
Aymane Bais,"Dec 26, 2005 (19)",Right Winger,Sparta Rotterdam,Eredivisie,-,Netherlands,https://www.transfermarkt.com/aymane-bais/profil/spieler/1055887
Tobias Lauritsen,"Aug 30, 1997 (27)",Centre-Forward,Sparta Rotterdam,Eredivisie,€3.50m,Norway,https://www.transfermarkt.com/tobias-lauritsen/profil/spieler/272206
Nökkvi Thórisson,"Aug 13, 1999 (25)",Centre-Forward,Sparta Rotterdam,Eredivisie,€600k,Iceland,https://www.transfermarkt.com/nokkvi-thorisson/profil/spieler/381349
Charles-Andreas Brym,"Aug 8, 1998 (26)",Centre-Forward,Sparta Rotterdam,Eredivisie,€450k,Canada / France,https://www.transfermarkt.com/charles-andreas-brym/profil/spieler/595028
Quincy Hoeve,"Apr 3, 2003 (22)",Centre-Forward,Sparta Rotterdam,Eredivisie,€100k,Bonaire / Netherlands,https://www.transfermarkt.com/quincy-hoeve/profil/spieler/702834
Rome Jayden Owusu-Oduro,"Jul 2, 2004 (20)",Goalkeeper,AZ Alkmaar,Eredivisie,€6.00m,Netherlands / Ghana,https://www.transfermarkt.com/rome-jayden-owusu-oduro/profil/spieler/704772
Tristan Kuijsten,"Jan 16, 2005 (20)",Goalkeeper,AZ Alkmaar,Eredivisie,€300k,Netherlands,https://www.transfermarkt.com/tristan-kuijsten/profil/spieler/738514
Jeroen Zoet,"Jan 6, 1991 (34)",Goalkeeper,AZ Alkmaar,Eredivisie,€300k,Netherlands,https://www.transfermarkt.com/jeroen-zoet/profil/spieler/79045
Hobie Verhulst,"Apr 2, 1993 (32)",Goalkeeper,AZ Alkmaar,Eredivisie,€200k,Netherlands,https://www.transfermarkt.com/hobie-verhulst/profil/spieler/116471
Sem Westerveld,"Jul 18, 2002 (22)",Goalkeeper,AZ Alkmaar,Eredivisie,€200k,Netherlands,https://www.transfermarkt.com/sem-westerveld/profil/spieler/595935
Daniël Virginio Deen,"Feb 13, 2003 (22)",Goalkeeper,AZ Alkmaar,Eredivisie,€125k,Netherlands / Brazil,https://www.transfermarkt.com/daniel-virginio-deen/profil/spieler/635371
Wouter Goes,"Jun 10, 2004 (21)",Centre-Back,AZ Alkmaar,Eredivisie,€10.00m,Netherlands,https://www.transfermarkt.com/wouter-goes/profil/spieler/646707
Alexandre Penetra,"Sep 9, 2001 (23)",Centre-Back,AZ Alkmaar,Eredivisie,€9.00m,Portugal,https://www.transfermarkt.com/alexandre-penetra/profil/spieler/479643
Riechedly Bazoer,"Oct 12, 1996 (28)",Centre-Back,AZ Alkmaar,Eredivisie,€3.00m,Curacao / Netherlands,https://www.transfermarkt.com/riechedly-bazoer/profil/spieler/216443
Maxim Dekker,"Apr 21, 2004 (21)",Centre-Back,AZ Alkmaar,Eredivisie,€1.00m,Netherlands,https://www.transfermarkt.com/maxim-dekker/profil/spieler/646704
Bruno Martins Indi,"Feb 8, 1992 (33)",Centre-Back,AZ Alkmaar,Eredivisie,€650k,Netherlands / Portugal,https://www.transfermarkt.com/bruno-martins-indi/profil/spieler/112052
Lewis Schouten,"Feb 4, 2004 (21)",Centre-Back,AZ Alkmaar,Eredivisie,€400k,Netherlands,https://www.transfermarkt.com/lewis-schouten/profil/spieler/801031
Jorn Berkhout,"Mar 18, 2002 (23)",Centre-Back,AZ Alkmaar,Eredivisie,€300k,Netherlands,https://www.transfermarkt.com/jorn-berkhout/profil/spieler/595937
David Møller Wolfe,"Apr 23, 2002 (23)",Left-Back,AZ Alkmaar,Eredivisie,€9.00m,Norway,https://www.transfermarkt.com/david-moller-wolfe/profil/spieler/661427
Mees de Wit,"Apr 17, 1998 (27)",Left-Back,AZ Alkmaar,Eredivisie,€1.50m,Netherlands,https://www.transfermarkt.com/mees-de-wit/profil/spieler/315254
Seiya Maikuma,"Oct 16, 1997 (27)",Right-Back,AZ Alkmaar,Eredivisie,€4.00m,Japan,https://www.transfermarkt.com/seiya-maikuma/profil/spieler/733438
Denso Kasius,"Oct 6, 2002 (22)",Right-Back,AZ Alkmaar,Eredivisie,€4.00m,Netherlands,https://www.transfermarkt.com/denso-kasius/profil/spieler/577394
Elijah Dijkstra,"Aug 5, 2006 (18)",Right-Back,AZ Alkmaar,Eredivisie,€700k,Netherlands,https://www.transfermarkt.com/elijah-dijkstra/profil/spieler/957241
Peer Koopmeiners,"May 4, 2000 (25)",Defensive Midfield,AZ Alkmaar,Eredivisie,€10.00m,Netherlands,https://www.transfermarkt.com/peer-koopmeiners/profil/spieler/361074
Kristijan Belic,"Mar 25, 2001 (24)",Defensive Midfield,AZ Alkmaar,Eredivisie,€3.50m,Serbia / Belgium,https://www.transfermarkt.com/kristijan-belic/profil/spieler/507223
Jordy Clasie,"Jun 27, 1991 (34)",Defensive Midfield,AZ Alkmaar,Eredivisie,€1.50m,Netherlands,https://www.transfermarkt.com/jordy-clasie/profil/spieler/104223
Enoch Mastoras,"May 24, 2006 (19)",Defensive Midfield,AZ Alkmaar,Eredivisie,€500k,Netherlands / DR Congo,https://www.transfermarkt.com/enoch-mastoras/profil/spieler/801029
Kasper Boogaard,"Jan 29, 2006 (19)",Defensive Midfield,AZ Alkmaar,Eredivisie,€200k,Netherlands,https://www.transfermarkt.com/kasper-boogaard/profil/spieler/988406
Kees Smit,"Jan 20, 2006 (19)",Central Midfield,AZ Alkmaar,Eredivisie,€5.00m,Netherlands,https://www.transfermarkt.com/kees-smit/profil/spieler/859035
Zico Buurmeester,"Jun 7, 2002 (23)",Central Midfield,AZ Alkmaar,Eredivisie,€3.50m,Netherlands,https://www.transfermarkt.com/zico-buurmeester/profil/spieler/595940
Dave Kwakman,"Aug 7, 2004 (20)",Central Midfield,AZ Alkmaar,Eredivisie,€2.00m,Netherlands,https://www.transfermarkt.com/dave-kwakman/profil/spieler/747017
Sven Mijnans,"Mar 9, 2000 (25)",Attacking Midfield,AZ Alkmaar,Eredivisie,€9.00m,Netherlands,https://www.transfermarkt.com/sven-mijnans/profil/spieler/578804
Julian Oerip,"Oct 26, 2006 (18)",Attacking Midfield,AZ Alkmaar,Eredivisie,€250k,Netherlands,https://www.transfermarkt.com/julian-oerip/profil/spieler/942065
Ruben van Bommel,"Aug 3, 2004 (20)",Left Winger,AZ Alkmaar,Eredivisie,€8.00m,Netherlands,https://www.transfermarkt.com/ruben-van-bommel/profil/spieler/735701
Myron van Brederode,"Jul 6, 2003 (21)",Left Winger,AZ Alkmaar,Eredivisie,€3.00m,Netherlands,https://www.transfermarkt.com/myron-van-brederode/profil/spieler/650712
Ro-Zangelo Daal,"Feb 10, 2004 (21)",Left Winger,AZ Alkmaar,Eredivisie,€750k,Netherlands,https://www.transfermarkt.com/ro-zangelo-daal/profil/spieler/800995
Sem van Duijn,"Mar 18, 2004 (21)",Left Winger,AZ Alkmaar,Eredivisie,€325k,Netherlands,https://www.transfermarkt.com/sem-van-duijn/profil/spieler/926491
Wassim Bouziane,"Dec 22, 2006 (18)",Left Winger,AZ Alkmaar,Eredivisie,€150k,Netherlands / Morocco,https://www.transfermarkt.com/wassim-bouziane/profil/spieler/990008
Ernest Poku,"Jan 28, 2004 (21)",Right Winger,AZ Alkmaar,Eredivisie,€4.00m,Netherlands / Ghana,https://www.transfermarkt.com/ernest-poku/profil/spieler/718303
Ibrahim Sadiq,"May 7, 2000 (25)",Right Winger,AZ Alkmaar,Eredivisie,€3.50m,Ghana,https://www.transfermarkt.com/ibrahim-sadiq/profil/spieler/543501
Mayckel Lahdo,"Dec 30, 2002 (22)",Right Winger,AZ Alkmaar,Eredivisie,€3.00m,Sweden / Syria,https://www.transfermarkt.com/mayckel-lahdo/profil/spieler/795274
